                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.1198,                  1.162,                  1.213,                 1.3662,                  1.439,                 1.2217,                0.48096,                0.27764,                0.26099,                0.18063,                 1.0068,                 1.1553,                 1.1514,                 1.1954,                 1.3506,                 1.1622,              0.0094555,              0.0094555,              0.0094555
                     58,                 1.1168,                 1.1588,                 1.2106,                 1.3667,                  1.425,                 1.2215,                 0.4466,                0.27836,                0.25981,                0.17969,                 1.0018,                 1.1546,                 1.1436,                 1.1951,                  1.346,                 1.1584,              0.0094456,              0.0094456,              0.0094456
                     59,                 1.1102,                 1.1474,                 1.2066,                 1.3576,                 1.4187,                 1.2165,                0.47356,                0.29338,                0.27999,                0.19297,                0.99643,                 1.1378,                  1.141,                 1.1862,                 1.3272,                 1.1563,              0.0094357,              0.0094357,              0.0094357
                     60,                  1.105,                  1.151,                 1.2025,                 1.3537,                 1.4173,                 1.2133,                 0.4626,                0.28773,                0.27586,                0.19067,                0.98966,                 1.1073,                 1.1362,                 1.1771,                 1.2995,                  1.148,              0.0094258,              0.0094258,              0.0094258
                     61,                 1.1075,                 1.1441,                 1.2008,                 1.3571,                 1.4072,                 1.2126,                0.43122,                0.29865,                0.28731,                0.19916,                0.98955,                 1.1075,                 1.1361,                  1.181,                 1.3026,                 1.1497,              0.0094159,              0.0094159,              0.0094159
                     62,                  1.105,                 1.1348,                 1.2002,                 1.3507,                 1.3984,                  1.212,                0.47423,                0.28481,                0.27701,                0.19194,                0.98334,                 1.1359,                 1.1335,                  1.175,                 1.3147,                 1.1487,               0.009406,               0.009406,               0.009406
                     63,                 1.1023,                  1.127,                 1.1954,                 1.3495,                 1.3908,                 1.2078,                0.49267,                0.31056,                 0.2853,                0.19613,                 0.9883,                 1.1195,                  1.135,                 1.1809,                 1.2991,                 1.1508,              0.0093961,              0.0093961,              0.0093961
                     64,                 1.0994,                 1.1331,                 1.1996,                 1.3428,                  1.396,                 1.2133,                0.46461,                0.31387,                 0.2848,                0.19759,                0.98249,                 1.1211,                  1.131,                 1.1694,                 1.3029,                 1.1441,              0.0093862,              0.0093862,              0.0093862
                     65,                 1.0967,                 1.1246,                 1.1961,                 1.3425,                 1.3853,                 1.2061,                0.48965,                0.29663,                0.28643,                0.19768,                0.98376,                 1.1106,                 1.1308,                 1.1717,                 1.2881,                 1.1403,              0.0093763,              0.0093763,              0.0093763
                     66,                 1.0963,                 1.1214,                  1.189,                 1.3489,                 1.3813,                 1.2009,                0.46248,                0.30642,                0.29223,                0.20383,                0.97815,                 1.1042,                  1.126,                 1.1665,                 1.2747,                 1.1401,              0.0093664,              0.0093664,              0.0093664
                     67,                 1.0876,                  1.114,                 1.1859,                 1.3381,                 1.3698,                 1.1983,                0.46784,                0.32446,                 0.2948,                0.20513,                0.97457,                 1.1021,                 1.1223,                 1.1628,                 1.2835,                 1.1337,              0.0093565,              0.0093565,              0.0093565
                     68,                 1.0893,                 1.1144,                 1.1862,                 1.3379,                 1.3745,                 1.1978,                 0.4631,                0.32008,                0.29571,                0.20357,                0.97055,                 1.1059,                 1.1184,                 1.1574,                 1.2914,                 1.1307,              0.0093466,              0.0093466,              0.0093466
                     69,                 1.0852,                 1.1033,                 1.1843,                 1.3368,                 1.3643,                 1.1965,                0.44714,                0.33004,                0.30271,                0.20803,                0.97034,                 1.1025,                  1.118,                  1.158,                 1.2784,                 1.1322,              0.0093367,              0.0093367,              0.0093367
                     70,                  1.081,                 1.1019,                 1.1832,                 1.3311,                 1.3575,                 1.1965,                0.47111,                0.32127,                0.30561,                0.21217,                0.96617,                 1.0913,                 1.1167,                 1.1574,                 1.2542,                 1.1307,              0.0093268,              0.0093268,              0.0093268
                     71,                 1.0846,                 1.1045,                  1.182,                 1.3321,                 1.3596,                  1.197,                0.41823,                0.33581,                0.30652,                0.21287,                0.96624,                 1.0938,                 1.1131,                 1.1493,                 1.2687,                 1.1283,              0.0093169,              0.0093169,              0.0093169
                     72,                 1.0859,                 1.0996,                 1.1787,                 1.3331,                 1.3576,                 1.1909,                0.41346,                 0.3648,                0.30873,                0.21211,                0.95965,                 1.0849,                 1.1107,                 1.1483,                 1.2514,                 1.1226,               0.009307,               0.009307,               0.009307
                     73,                 1.0886,                 1.0989,                 1.1725,                 1.3451,                 1.3569,                 1.1858,                0.43875,                0.34372,                0.31102,                0.21482,                0.95773,                 1.0827,                 1.1082,                 1.1473,                 1.2411,                 1.1206,              0.0092971,              0.0092971,              0.0092971
                     74,                 1.0741,                 1.0894,                 1.1762,                 1.3168,                 1.3435,                 1.1891,                0.45712,                0.34629,                0.31063,                0.21436,                0.95728,                 1.0808,                 1.1077,                 1.1452,                 1.2461,                 1.1212,              0.0092872,              0.0092872,              0.0092872
                     75,                 1.0746,                 1.0895,                 1.1705,                 1.3218,                 1.3434,                 1.1851,                 0.4606,                0.34909,                0.31523,                0.22114,                0.94913,                 1.0688,                 1.1016,                 1.1364,                 1.2352,                  1.113,              0.0092773,              0.0092773,              0.0092773
                     76,                 1.0772,                 1.0902,                 1.1744,                 1.3249,                 1.3433,                 1.1869,                0.46655,                0.36343,                0.31758,                0.22313,                0.95168,                 1.0635,                 1.1021,                  1.138,                 1.2279,                 1.1148,              0.0092674,              0.0092674,              0.0092674
                     77,                 1.0739,                 1.0787,                 1.1685,                 1.3205,                 1.3332,                 1.1821,                0.42117,                0.37859,                 0.3169,                 0.2235,                0.94733,                 1.0635,                 1.0993,                 1.1326,                 1.2327,                 1.1131,              0.0092575,              0.0092575,              0.0092575
                     78,                 1.0808,                 1.0862,                 1.1696,                 1.3265,                 1.3389,                 1.1833,                 0.4219,                0.36843,                0.32605,                 0.2282,                0.94369,                 1.0599,                 1.0984,                   1.13,                 1.2205,                 1.1105,              0.0092476,              0.0092476,              0.0092476
                     79,                 1.0615,                 1.0711,                 1.1609,                   1.31,                 1.3241,                 1.1765,                0.43365,                0.38081,                0.32384,                0.23023,                0.94136,                 1.0536,                 1.0956,                 1.1235,                 1.2227,                 1.1069,              0.0092377,              0.0092377,              0.0092377
                     80,                 1.0635,                 1.0705,                 1.1595,                 1.3094,                 1.3245,                 1.1725,                0.43414,                0.38243,                0.32421,                0.22831,                0.93938,                  1.062,                  1.094,                 1.1247,                 1.2212,                 1.1057,              0.0092278,              0.0092278,              0.0092278
                     81,                 1.0708,                 1.0721,                 1.1646,                 1.3158,                 1.3245,                 1.1781,                0.43682,                 0.3724,                0.33309,                0.23476,                0.94002,                  1.053,                 1.0939,                 1.1251,                 1.2142,                 1.1071,              0.0092179,              0.0092179,              0.0092179
                     82,                 1.0706,                 1.0787,                 1.1626,                 1.3184,                 1.3341,                 1.1758,                0.46648,                 0.3605,                0.32791,                 0.2302,                0.93863,                  1.039,                 1.0901,                 1.1201,                 1.1997,                 1.1012,               0.009208,               0.009208,               0.009208
                     83,                 1.0604,                 1.0629,                  1.159,                 1.3026,                 1.3055,                 1.1738,                0.45385,                 0.3813,                0.33343,                0.23552,                0.93384,                 1.0446,                 1.0867,                 1.1155,                 1.2041,                    1.1,              0.0091981,              0.0091981,              0.0091981
                     84,                 1.0595,                 1.0633,                 1.1552,                 1.3077,                 1.3124,                 1.1715,                0.45869,                0.36715,                0.33395,                0.23657,                0.92902,                   1.04,                 1.0845,                 1.1101,                 1.1963,                 1.0974,              0.0091882,              0.0091882,              0.0091882
                     85,                 1.0604,                 1.0617,                 1.1573,                  1.304,                 1.3008,                 1.1712,                0.42633,                 0.3818,                0.33946,                0.24054,                0.92723,                 1.0434,                 1.0846,                 1.1071,                 1.1976,                 1.0972,              0.0091783,              0.0091783,              0.0091783
                     86,                 1.0572,                 1.0593,                 1.1558,                 1.3008,                 1.3031,                 1.1706,                0.47748,                0.37868,                0.33415,                0.23689,                0.92704,                 1.0366,                 1.0835,                 1.1092,                 1.1889,                 1.0975,              0.0091684,              0.0091684,              0.0091684
                     87,                 1.0574,                 1.0543,                 1.1513,                 1.3078,                 1.2981,                 1.1666,                0.45029,                 0.3833,                0.32536,                0.23042,                 0.9241,                 1.0358,                 1.0813,                 1.1061,                 1.1876,                  1.096,              0.0091585,              0.0091585,              0.0091585
                     88,                 1.0539,                 1.0505,                 1.1501,                 1.3022,                  1.291,                 1.1693,                0.45576,                0.35933,                0.33006,                0.23387,                0.92011,                 1.0389,                 1.0787,                 1.1055,                 1.1859,                 1.0945,              0.0091486,              0.0091486,              0.0091486
                     89,                 1.0583,                 1.0529,                 1.1517,                 1.3058,                  1.295,                  1.169,                0.46354,                0.36215,                0.33564,                0.23687,                0.92114,                 1.0324,                 1.0769,                 1.1034,                 1.1812,                 1.0917,              0.0091387,              0.0091387,              0.0091387
                     90,                  1.049,                 1.0401,                 1.1482,                  1.296,                  1.283,                 1.1652,                0.45509,                0.38694,                0.34139,                0.24309,                0.91948,                 1.0238,                 1.0761,                  1.101,                 1.1681,                 1.0897,              0.0091288,              0.0091288,              0.0091288
                     91,                 1.0468,                 1.0435,                 1.1481,                 1.2882,                 1.2832,                 1.1664,                0.46941,                0.38936,                0.34815,                0.24646,                0.91748,                 1.0289,                 1.0757,                 1.1006,                 1.1743,                 1.0911,              0.0091189,              0.0091189,              0.0091189
                     92,                 1.0441,                 1.0364,                 1.1445,                 1.2838,                 1.2703,                 1.1594,                0.47358,                0.38999,                0.34779,                0.24764,                0.91714,                  1.029,                 1.0758,                 1.0963,                 1.1738,                 1.0894,               0.009109,               0.009109,               0.009109
                     93,                 1.0482,                  1.041,                 1.1439,                 1.2946,                 1.2796,                 1.1593,                0.46361,                0.38926,                0.34642,                0.24755,                0.91598,                 1.0183,                 1.0749,                 1.0952,                 1.1682,                 1.0876,              0.0090991,              0.0090991,              0.0090991
